Obere Str. 57	Berlin	Alfreds Futterkiste	Maria Anders	Sales Representative	Germany	ALFKI     	030-0076545	030-0074321	12209	
Avda. de la Constitucion 2222	Mexico D.F.	Ana Trujillo Emparedados y helados	Ana Trujillo	Owner	Mexico	ANATR     	(5) 555-3745	(5) 555-4729	05021	
Mataderos  2312	Mexico D.F.	Antonio Moreno Taqueria	Antonio Moreno	Owner	Mexico	ANTON     		(5) 555-3932	05023	
120 Hanover Sq.	London	Around the Horn	Thomas Hardy	Sales Representative	UK	AROUT     	(171) 555-6750	(171) 555-7788	WA1 1DP	
Berguvsvagen  8	Lulea	Berglunds snabbkop	Christina Berglund	Order Administrator	Sweden	BERGS     	0921-12 34 67	0921-12 34 65	S-958 22	
Forsterstr. 57	Mannheim	Blauer See Delikatessen	Hanna Moos	Sales Representative	Germany	BLAUS     	0621-08924	0621-08460	68306	
24, place Kleber	Strasbourg	Blondel pere et fils	Frederique Citeaux	Marketing Manager	France	BLONP     	88.60.15.32	88.60.15.31	67000	
C/ Araquil, 67	Madrid	Bolido Comidas preparadas	Martin Sommer	Owner	Spain	BOLID     	(91) 555 91 99	(91) 555 22 82	28023	
12, rue des Bouchers	Marseille	Bon app'	Laurence Lebihan	Owner	France	BONAP     	91.24.45.41	91.24.45.40	13008	
23 Tsawassen Blvd.	Tsawassen	Bottom-Dollar Markets	Elizabeth Lincoln	Accounting Manager	Canada	BOTTM     	(604) 555-3745	(604) 555-4729	T2F 8M4	BC
Fauntleroy Circus	London	B's Beverages	Victoria Ashworth	Sales Representative	UK	BSBEV     		(171) 555-1212	EC2 5NT	
Cerrito 333	Buenos Aires	Cactus Comidas para llevar	Patricio Simpson	Sales Agent	Argentina	CACTU     	(1) 135-4892	(1) 135-5555	1010	
Sierras de Granada 9993	Mexico D.F.	Centro comercial Moctezuma	Francisco Chang	Marketing Manager	Mexico	CENTC     	(5) 555-7293	(5) 555-3392	05022	
Hauptstr. 29	Bern	Chop-suey Chinese	Yang Wang	Owner	Switzerland	CHOPS     		0452-076545	3012	
Av. dos Lusiadas, 23	Sao Paulo	Comercio Mineiro	Pedro Afonso	Sales Associate	Brazil	COMMI     		(11) 555-7647	05432-043	SP
Berkeley Gardens\n12  Brewery 	London	Consolidated Holdings	Elizabeth Brown	Sales Representative	UK	CONSH     	(171) 555-9199	(171) 555-2282	WX1 6LT	
Walserweg 21	Aachen	Drachenblut Delikatessen	Sven Ottlieb	Order Administrator	Germany	DRACD     	0241-059428	0241-039123	52066	
67, rue des Cinquante Otages	Nantes	Du monde entier	Janine Labrune	Owner	France	DUMON     	40.67.89.89	40.67.88.88	44000	
35 King George	London	Eastern Connection	Ann Devon	Sales Agent	UK	EASTC     	(171) 555-3373	(171) 555-0297	WX3 6FW	
Kirchgasse 6	Graz	Ernst Handel	Roland Mendel	Sales Manager	Austria	ERNSH     	7675-3426	7675-3425	8010	
Rua Oros, 92	Sao Paulo	Familia Arquibaldo	Aria Cruz	Marketing Assistant	Brazil	FAMIA     		(11) 555-9857	05442-030	SP
C/ Moralzarzal, 86	Madrid	FISSA Fabrica Inter. Salchichas S.A.	Diego Roel	Accounting Manager	Spain	FISSA     	(91) 555 55 93	(91) 555 94 44	28034	
184, chaussee de Tournai	Lille	Folies gourmandes	Martine Rance	Assistant Sales Agent	France	FOLIG     	20.16.10.17	20.16.10.16	59000	
Akergatan 24	Bracke	Folk och fa HB	Maria Larsson	Owner	Sweden	FOLKO     		0695-34 67 21	S-844 67	
Berliner Platz 43	Munchen	Frankenversand	Peter Franken	Marketing Manager	Germany	FRANK     	089-0877451	089-0877310	80805	
54, rue Royale	Nantes	France restauration	Carine Schmitt	Marketing Manager	France	FRANR     	40.32.21.20	40.32.21.21	44000	
Via Monte Bianco 34	Torino	Franchi S.p.A.	Paolo Accorti	Sales Representative	Italy	FRANS     	011-4988261	011-4988260	10100	
Jardim das rosas n. 32	Lisboa	Furia Bacalhau e Frutos do Mar	Lino Rodriguez 	Sales Manager	Portugal	FURIB     	(1) 354-2535	(1) 354-2534	1675	
Rambla de Cataluna, 23	Barcelona	Galeria del gastronomo	Eduardo Saavedra	Marketing Manager	Spain	GALED     	(93) 203 4561	(93) 203 4560	08022	
C/ Romero, 33	Sevilla	Godos Cocina Tipica	Jose Pedro Freyre	Sales Manager	Spain	GODOS     		(95) 555 82 82	41101	
Av. Brasil, 442	Campinas	Gourmet Lanchonetes	Andre Fonseca	Sales Associate	Brazil	GOURL     		(11) 555-9482	04876-786	SP
2732 Baker Blvd.	Eugene	Great Lakes Food Market	Howard Snyder	Marketing Manager	USA	GREAL     		(503) 555-7555	97403	OR
5? Ave. Los Palos Grandes	Caracas	GROSELLA-Restaurante	Manuel Pereira	Owner	Venezuela	GROSR     	(2) 283-3397	(2) 283-2951	1081	DF
